Step,New Cells,Rate (%)
115,2283,37.3375
116,2372,37.80078125
117,2367,38.2630859375
118,2475,38.746484375
119,2421,39.2193359375
120,2372,39.6826171875
121,2497,40.1703125
122,2567,40.6716796875
123,2564,41.1724609375
124,2665,41.69296875
125,2604,42.2015625
126,2703,42.7294921875
127,2708,43.2583984375
128,2798,43.804882812500004
129,2833,44.358203125
130,2884,44.921484375
131,2793,45.4669921875
132,2815,46.016796875
133,2916,46.586328125
134,2957,47.1638671875
135,3058,47.7611328125
136,3119,48.370312500000004
137,3138,48.983203125
138,3103,49.5892578125
139,3136,50.201757812500006
140,3109,50.808984375
141,3214,51.43671875
142,3371,52.095117187499994
143,3486,52.775976562500006
144,3597,53.478515625
145,3543,54.1705078125
146,3636,54.880664062499996
147,3521,55.568359375
148,3616,56.274609375
149,3678,56.992968749999996
150,3618,57.69960937500001
151,3623,58.4072265625
152,3663,59.122656250000006
153,3753,59.855664062500004
154,3824,60.60253906250001
155,3843,61.353125
156,3850,62.105078125
157,3795,62.846289062500006
158,3935,63.614843750000006
159,4003,64.3966796875
160,4063,65.190234375
161,4038,65.97890625000001
162,4043,66.7685546875
163,4075,67.564453125
164,4022,68.35
165,4097,69.15019531249999
166,4167,69.9640625
167,4138,70.772265625
168,4184,71.589453125
169,4196,72.408984375
170,4183,73.2259765625
171,4198,74.0458984375
172,4181,74.8625
173,4110,75.665234375
174,4071,76.4603515625
175,3920,77.2259765625
176,3843,77.9765625
177,3796,78.71796875
178,3780,79.45625
179,3759,80.1904296875
180,3599,80.89335937499999
181,3569,81.5904296875
182,3488,82.2716796875
183,3438,82.9431640625
184,3413,83.609765625
185,3301,84.25449218749999
186,3243,84.887890625
187,3092,85.491796875
188,2982,86.07421875
189,2900,86.640625
190,2692,87.16640625
191,2605,87.6751953125
192,2583,88.1796875
193,2428,88.65390625
194,2387,89.1201171875
195,2288,89.5669921875
196,2204,89.9974609375
197,2039,90.39570312500001
198,1968,90.780078125
199,1866,91.14453125
200,1774,91.491015625
201,1732,91.829296875
202,1585,92.1388671875
203,1487,92.429296875
204,1401,92.7029296875
205,1299,92.95664062499999
206,1264,93.203515625
207,1199,93.4376953125
208,1124,93.6572265625
209,1105,93.873046875
210,1068,94.08164062499999
211,987,94.2744140625
212,939,94.4578125
213,854,94.624609375
214,857,94.7919921875
215,795,94.947265625
216,795,95.1025390625
217,796,95.2580078125
218,760,95.4064453125
219,752,95.5533203125
220,682,95.6865234375
221,648,95.81308593749999
222,600,95.9302734375
223,544,96.0365234375
224,540,96.14199218750001
225,526,96.2447265625
226,506,96.3435546875
227,545,96.45
228,524,96.55234375
229,498,96.649609375
230,483,96.7439453125
231,462,96.8341796875
232,449,96.921875
233,415,97.0029296875
234,399,97.08085937499999
235,378,97.15468750000001
236,366,97.226171875
237,361,97.2966796875
238,328,97.36074218750001
239,322,97.4236328125
240,302,97.4826171875
241,320,97.5451171875
242,322,97.60800781249999
243,257,97.658203125
244,283,97.7134765625
245,291,97.7703125
246,297,97.8283203125
247,265,97.880078125
248,257,97.9302734375
249,279,97.98476562500001
250,279,98.0392578125
251,288,98.0955078125
252,249,98.14414062499999
253,270,98.19687499999999
254,251,98.2458984375
255,229,98.29062499999999
256,237,98.3369140625
257,207,98.37734375
258,213,98.4189453125
259,190,98.4560546875
260,202,98.49550781250001
261,200,98.53457031250001
262,181,98.569921875
263,181,98.6052734375
264,184,98.6412109375
265,185,98.67734375
266,171,98.7107421875
267,164,98.74277343749999
268,156,98.7732421875
269,133,98.79921875
270,129,98.8244140625
271,142,98.85214843749999
272,156,98.8826171875
273,161,98.9140625
274,139,98.9412109375
275,121,98.96484375
